 [2018-05-15 11:51:31.184 Info] INFO	*** Logging START ***
 [2018-05-15 11:51:31.184 Info] VERSION	1.0.0 (build 3316)
 [2018-05-15 11:51:31.184 Info] INFO	Logging=TRUE
 [2018-05-15 11:51:31.184 Info] INFO	AutoID=TRUE
 [2018-05-15 11:51:31.184 Info] INFO	AutoFW=TRUE
 [2018-05-15 11:51:31.184 Info] STARTUP	INI file loaded
 [2018-05-15 11:51:31.184 Info] STARTUP	Loading FW repository...
 [2018-05-15 11:51:31.196 Info] REPO	FW "Blink" loaded. t=10, v=1, blocks=80, crc=0x46D4
 [2018-05-15 11:51:31.196 Info] REPO	FW repository loaded. Items=1
 [2018-05-15 11:51:31.196 Info] STARTUP	Initialize message types
 [2018-05-15 11:51:31.196 Info] NODE	New node discovered, node id=0
 [2018-05-15 11:51:31.196 Info] NODE	New node discovered, node id=255
 [2018-05-15 11:51:44.373 Info] UPDATE	current=1.0.0.3316 remote=1.0.0.3316
 [2018-05-15 11:52:15.346 Info] INFO	Flushing FIFO
 [2018-05-15 11:52:15.347 Info] INFO	Connected to COM4
 [2018-05-15 11:52:16.809 Info] RX	0;255;3;0;9;0 MCO:BGN:INIT GW,CP=RNNGA---,VER=2.2.0
 [2018-05-15 11:52:16.809 Info] CHILD	New child discovered, node id=0, child id=internal
 [2018-05-15 11:52:16.812 Info] RX	0;255;3;0;9;4 TSM:INIT
 [2018-05-15 11:52:16.814 Info] RX	0;255;3;0;9;6 TSF:WUR:MS=0
 [2018-05-15 11:52:16.821 Info] RX	0;255;3;0;9;14 TSM:INIT:TSP OK
 [2018-05-15 11:52:16.825 Info] RX	0;255;3;0;9;17 TSM:INIT:GW MODE
 [2018-05-15 11:52:16.830 Info] RX	0;255;3;0;9;20 TSM:READY:ID=0,PAR=0,DIS=0
 [2018-05-15 11:52:16.833 Info] RX	0;255;3;0;9;23 MCO:REG:NOT NEEDED
 [2018-05-15 11:52:16.836 Info] RX	0;255;3;0;14;Gateway startup complete.
 [2018-05-15 11:52:16.840 Info] RX	0;255;0;0;18;2.2.0
 [2018-05-15 11:52:16.840 Info] DEBUG	Update child id=255, type=S_ARDUINO_REPEATER_NODE
 [2018-05-15 11:52:16.841 Info] RX	0;255;3;0;9;28 MCO:BGN:STP
 [2018-05-15 11:52:16.848 Info] RX	0;255;3;0;9;34 MCO:BGN:INIT OK,TSP=1
 [2018-05-15 11:52:16.953 Info] RX	0;255;3;0;9;140 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:16.956 Info] RX	2;0;1;0;24;This is a test message.
 [2018-05-15 11:52:16.956 Info] NODE	New node discovered, node id=2
 [2018-05-15 11:52:16.958 Info] CHILD	New child discovered, node id=2, child id=0
 [2018-05-15 11:52:17.089 Info] RX	0;255;3;0;9;276 TSF:MSG:READ,1-1-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:17.093 Info] RX	1;0;1;0;24;This is a test message.
 [2018-05-15 11:52:17.093 Info] NODE	New node discovered, node id=1
 [2018-05-15 11:52:17.095 Info] CHILD	New child discovered, node id=1, child id=0
 [2018-05-15 11:52:17.119 Info] RX	0;255;3;0;9;306 TSF:MSG:READ,3-3-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:17.123 Info] RX	3;0;1;0;24;This is a test message.
 [2018-05-15 11:52:17.123 Info] NODE	New node discovered, node id=3
 [2018-05-15 11:52:17.124 Info] CHILD	New child discovered, node id=3, child id=0
 [2018-05-15 11:52:17.455 Info] RX	0;255;3;0;9;642 TSF:MSG:READ,2-2-0,s=0,c=1,t=24,pt=0,l=23,sg=0:This is a test message.
 [2018-05-15 11:52:17.458 Info] RX	2;0;1;0;24;This is a test message.
