 [2018-05-09 14:11:05.291 Info] INFO	*** Logging START ***
 [2018-05-09 14:11:05.291 Info] VERSION	1.0.0 (build 3316)
 [2018-05-09 14:11:05.291 Info] INFO	Logging=TRUE
 [2018-05-09 14:11:05.291 Info] INFO	AutoID=TRUE
 [2018-05-09 14:11:05.291 Info] INFO	AutoFW=TRUE
 [2018-05-09 14:11:05.291 Info] STARTUP	INI file loaded
 [2018-05-09 14:11:05.291 Info] STARTUP	Loading FW repository...
 [2018-05-09 14:11:05.301 Info] REPO	FW "Blink" loaded. t=10, v=1, blocks=80, crc=0x46D4
 [2018-05-09 14:11:05.301 Info] REPO	FW repository loaded. Items=1
 [2018-05-09 14:11:05.301 Info] STARTUP	Initialize message types
 [2018-05-09 14:11:05.301 Info] NODE	New node discovered, node id=0
 [2018-05-09 14:11:05.301 Info] NODE	New node discovered, node id=255
 [2018-05-09 14:11:05.301 Info] INFO	read MySensors.xml
 [2018-05-09 14:11:05.301 Info] INFO	Application: MYSController
 [2018-05-09 14:11:05.301 Info] INFO	Node id=0 skipped
 [2018-05-09 14:11:05.301 Info] INFO	Node id=255 skipped
 [2018-05-09 14:11:05.301 Info] NODE	New node discovered, node id=192
 [2018-05-09 14:11:05.301 Info] INFO	Persistent node id=192: 
 [2018-05-09 14:11:05.301 Info] CHILD	New child discovered, node id=192, child id=internal
 [2018-05-09 14:11:05.301 Info] INFO	Persistent sensor id=255: 2.2.0
 [2018-05-09 14:11:05.301 Info] CHILD	New child discovered, node id=192, child id=3 - S_DOOR
 [2018-05-09 14:11:05.301 Info] INFO	Persistent sensor id=3: 
 [2018-05-09 14:11:05.301 Info] CHILD	New child discovered, node id=192, child id=0
 [2018-05-09 14:11:05.301 Info] INFO	Persistent sensor id=0: 
 [2018-05-09 14:11:16.491 Info] UPDATE	current=1.0.0.3316 remote=1.0.0.3316
 [2018-05-09 14:11:17.971 Info] INFO	Flushing FIFO
 [2018-05-09 14:11:17.971 Info] INFO	Connected to COM4
 [2018-05-09 14:11:19.431 Info] RX	0;255;3;0;9;0 MCO:BGN:INIT GW,CP=RNNGA---,VER=2.2.0
 [2018-05-09 14:11:19.431 Info] CHILD	New child discovered, node id=0, child id=internal
 [2018-05-09 14:11:19.431 Info] RX	0;255;3;0;9;4 TSM:INIT
 [2018-05-09 14:11:19.441 Info] RX	0;255;3;0;9;6 TSF:WUR:MS=0
 [2018-05-09 14:11:19.441 Info] RX	0;255;3;0;9;14 TSM:INIT:TSP OK
 [2018-05-09 14:11:19.451 Info] RX	0;255;3;0;9;17 TSM:INIT:GW MODE
 [2018-05-09 14:11:19.451 Info] RX	0;255;3;0;9;20 TSM:READY:ID=0,PAR=0,DIS=0
 [2018-05-09 14:11:19.461 Info] RX	0;255;3;0;9;23 MCO:REG:NOT NEEDED
 [2018-05-09 14:11:19.461 Info] RX	0;255;3;0;14;Gateway startup complete.
 [2018-05-09 14:11:19.461 Info] RX	0;255;0;0;18;2.2.0
 [2018-05-09 14:11:19.461 Info] DEBUG	Update child id=255, type=S_ARDUINO_REPEATER_NODE
 [2018-05-09 14:11:19.461 Info] RX	0;255;3;0;9;28 MCO:BGN:STP
